Name,Rank,Rating,Address,Review Count,Category
The Waterfront Restaurant & Tavern,1,4.5 star rating,328 Front St S,226,American (New);Seafood;Steakhouses
Restore Public House,2,4.5 star rating,1810 State St,17,American (Traditional)
Buzzard Billy’s,3,4 star rating,222 Pearl St,275,American (Traditional);Cajun/Creole
Lovechild Restaurant,4,4.5 star rating,300 3rd St S,109,American (New)
The Charmant,5,4.5 star rating,101 State St,149,French;Cocktail Bars
The Freighthouse Restaurant,6,4 star rating,107 Vine St,125,Seafood;Steakhouses;Desserts
Howie’s on La Crosse,7,4 star rating,1128 La Crosse St,57,American (New);Pubs
Piggy’s Restaurant,8,4 star rating,501 Front St S,131,Steakhouses;Seafood;Sandwiches
The Crow,9,3.5 star rating,100 3rd St S,154,American (Traditional);Gastropubs
Schuby’s Neighborhood Butcher,10,4.5 star rating,321 State St,17,Butcher;Delis;Caterers
Digger’s Sting Restaurant,11,4 star rating,122 3rd St N,62,American (New);Steakhouses
4 Sisters Wine Bar and Tapas,12,3.5 star rating,100 Harborview Plz,111,Wine Bars;Tapas/Small Plates;Tapas Bars
River Rats Bar and Grill,13,4.5 star rating,1311 La Crescent Pl,28,American (New);Burgers;Cocktail Bars
Uno Venti Pizzeria,14,4 star rating,120 King St,17,Pizza;Italian;Beer Bar
Milwaukee Burger Company,15,3.5 star rating,3039 Medco Ct,23,Burgers;Sports Bars;Beer Bar
Le Chateau,16,4.5 star rating,410 Cass St,51,French;Wine Bars;Cocktail Bars
Burritos House,17,4.5 star rating,1205 La Crosse St,30,Mexican
Señor Villa,18,4 star rating,325 West Ave N,69,Mexican
Red Pines Bar & Grill,19,4.5 star rating,W7305 County Rd Z,88,American (Traditional);Seafood
Iguana’s Mexican Street Café,20,4 star rating,1800 State St,71,Mexican
Hmong’s Golden Egg Roll,21,4 star rating,901 State St,69,Laotian;Vietnamese;Thai
Five Star Eggrolls,22,3.5 star rating,1203 La Crosse St,9,Thai;Laotian;Chinese
Hungry Peddler,23,4 star rating,3429 Mormon Coulee Rd,64,American (Traditional);Steakhouses;Seafood
Ciatti’s Italian Grill,24,4.5 star rating,2846 Midwest Dr,51,Seafood;Steakhouses;Italian
Recovery Room,25,3.5 star rating,901 7th St S,14,Sports Bars;American (Traditional)
Pickerman’s Soup & Sandwiches,26,4.5 star rating,327 Jay St,57,Sandwiches;Soup
Huck Finn’s On the Water,27,3.5 star rating,129 Marina Dr,53,American (Traditional);Music Venues;Chicken Wings
Rudy’s Drive-In,28,4 star rating,1004 La Crosse St,44,American (New)
Big Mama’s Gyros,29,5 star rating,Dave's Guitar Shop Parking Lot,9,Greek;Street Vendors
Greengrass Cafe,30,4 star rating,1904 Campbell Rd,96,Breakfast & Brunch;Bars
Schmidty’s Bar & Restaurant,31,4 star rating,3119 State Rd,19,American (Traditional)
The Root Note,32,4.5 star rating,115 4th St S,80,Music Venues;Coffee & Tea;Creperies
Timmers 10 Mile Pub,33,4.5 star rating,W4516 Eddie Ave,12,Pubs;American (Traditional)
Big Al’s Pizza,34,3.5 star rating,115 3rd St,70,Pizza
People’s Food Co-op,35,4.5 star rating,315 5th Ave S,31,Grocery;Delis
New Taste of India,36,4 star rating,1812 Jackson St,110,Indian
Pogreba Restaurant,37,4 star rating,1232 Avon St,48,American (Traditional);Seafood;Steakhouses
Uptowne Cafe & Bakery,38,4 star rating,1217 Caledonia St,45,Bakeries;Cafes;Breakfast & Brunch
Il Luigi Italian Cuisine,39,4.5 star rating,235 Sand Lake Rd,3,Italian;Wine Bars
David Reay’s Modern Diner + Tavern,40,3.5 star rating,214 Main St,96,Diners;Bars
Rosie’s Cafe,41,4.5 star rating,2225 16th St S,56,Diners;Cafes;American (Traditional)
Fayze’s,42,3.5 star rating,135 S 4th St,129,Bakeries;American (Traditional);Pubs
Taste of Thai,43,4.5 star rating,205 S Holmen Dr,40,Thai
Big Boar Barbecue & Catering,44,4.5 star rating,510 Commerce Dr,47,Barbeque
Sweet Lou Barbeque,45,5 star rating,,1,Barbeque;Food Trucks
Kaddy’s Kafe,46,4.5 star rating,236 E Main St,25,Breakfast & Brunch;Cafes
Sushi Pirate,47,3.5 star rating,200 Main St,60,Japanese;Sushi Bars
Moxie’s,48,3.5 star rating,1835 Rose St,6,American (New);Tiki Bars
Pizza Ranch,49,5 star rating,3130 Chestnut Pl,3,Pizza;Chicken Shop;Buffets
North Country Steak Buffet,50,4 star rating,2526 Rose St,29,Buffets;Salad;Tacos
The Barrel Inn Bar & Grill,51,4 star rating,2005 West Ave S,5,Sports Bars;American (Traditional)
Press Break,52,4.5 star rating,146 Rose St,14,Sandwiches;Hot Dogs;Breakfast & Brunch
Shogun Sushi And Hibachi,53,3.5 star rating,1227 Crossing Meadows Dr,78,Japanese;Sushi Bars
Schmitty’s TimeOut Tavern,54,4.5 star rating,444 N Chestnut St,7,Chicken Wings;American (Traditional);Burgers
Crooked Pint Ale House,55,3.5 star rating,9348 WI-16,23,Pubs;American (Traditional);Sports Bars
The Breakfast Club and Pub,56,3.5 star rating,214 Main St,110,American (Traditional);Breakfast & Brunch;Pubs
Meringue Bakery & Cafe,57,5 star rating,313 Main St,4,Bakeries;Custom Cakes;Cafes
Bebo’s Dogs & Beef,58,5 star rating,101 3rd St S,2,Hot Dogs
Famous Dave’s Bar-B-Que,59,4 star rating,3055 State Highway 16,34,Barbeque;American (Traditional);Comfort Food
